State Name,Constituency Name,Candidates Name,Party Name,Party Type,Votes Secured,% Of Votes Secured - Over Total Electors In Constituency,% Of Votes Secured - Over Total Valid Votes In Constituency,Status,Total Valid Votes,Total Electors In Constituency
Andhra Pradesh,Araku (ST),Avashya Lahari . Varam,BSP,N,25750,1.65,2.31,FD,1113975,1557153
Andhra Pradesh,Araku (ST),Kothapalli Geetha,BJP,N,426425,27.38,38.28,L,1113975,1557153
Andhra Pradesh,Araku (ST),Gumma Thanuja Rani,YSRCP,S,477005,30.63,42.82,W,1113975,1557153
Andhra Pradesh,Araku (ST),Athidhi,IND,Z,8136,0.52,0.73,FD,1113975,1557153
Andhra Pradesh,Srikakulam (GEN),Borubadra Chandrakala,BCYP,U,1357,0.08,0.11,FD,1211081,1646686
Andhra Pradesh,Visakhapatnam (GEN),Jhansi Lakshmi. Botcha.,YSRCP,S,403220,20.88,29.18,L,1381812,1931398
Andhra Pradesh,Visakhapatnam (GEN),Jaladi Vijaya Kumari,SP,S,466,0.02,0.03,FD,1381812,1931398
Andhra Pradesh,Visakhapatnam (GEN),P. Satya Vani,PPOI,U,882,0.05,0.06,FD,1381812,1931398
Andhra Pradesh,Visakhapatnam (GEN),Aruna Sri Murala,IND,Z,1993,0.1,0.14,FD,1381812,1931398
Andhra Pradesh,Visakhapatnam (GEN),Malla Sravani,IND,Z,273,0.01,0.02,FD,1381812,1931398
Andhra Pradesh,Anakapalle (GEN),Vijaya Lakshmi Karri,PPOI,U,1591,0.1,0.12,FD,1299097,1601365
Andhra Pradesh,Kakinada (GEN),Dr Anusha Yadav,BCYP,U,9854,0.6,0.75,FD,1312583,1634921
Andhra Pradesh,Rajahmundry (GEN),Daggubati Purandheshwari,BJP,N,726515,44.74,55.85,W,1300862,1623852
Andhra Pradesh,Rajahmundry (GEN),Jalli Bala Naveena,IND,Z,1254,0.08,0.1,FD,1300862,1623852
Andhra Pradesh,Narsapuram (GEN),Umabala Guduri,YSRCP,S,430636,29.22,35.19,L,1223597,1473811
Andhra Pradesh,Narsapuram (GEN),Ganji Purnima,RPI(A),U,1649,0.11,0.13,FD,1223597,1473811
Andhra Pradesh,Narsapuram (GEN),Rukhmini,IND,Z,686,0.05,0.06,FD,1223597,1473811
Andhra Pradesh,Eluru (GEN),Kavuri Lavanya,INC,N,20826,1.27,1.53,FD,1359534,1638116
